Week,Coef,SE,PValue,CI_Lower,CI_Upper,Significant
-25,1.5387747301417307,0.6767003801616515,0.022981645035770937,0.21244198502489398,2.8651074752585677,True
-24,0.14701822535574277,0.3812265354330612,0.6997640115741413,-0.6001857840930571,0.8942222348045428,False
-23,-0.39864227172277344,0.33959094912852283,0.2404550749792418,-1.0642405320146782,0.2669559885691313,False
-22,-0.20845343383091355,0.3366459740995222,0.5357881945090806,-0.868279543065977,0.45137267540414994,False
-21,0.12268535087455704,0.34791510215809995,0.7243699430533783,-0.5592282493553189,0.8045989511044329,False
-20,0.137806823370728,0.37974230941928455,0.7166871919368212,-0.6064881030910697,0.8821017498325258,False
-19,0.03990709034907912,0.3448385451417666,0.9078703132784611,-0.6359764581287833,0.7157906388269416,False
-18,-0.33936864390869903,0.3038545529462951,0.26406141887407975,-0.9349235676834374,0.25618627986603937,False
-17,0.17494738225150647,0.3645752086695794,0.6313283514215784,-0.5396200267408691,0.8895147912438821,False
-16,0.31594115375029574,0.4261146684822563,0.4584327150429237,-0.5192435964749267,1.1511259039755182,False
-15,-0.4821487691145699,0.345135939359685,0.16243645241414595,-1.1586152102595524,0.19431767203041267,False
-14,-0.03440613586908069,0.3061724536749864,0.9105273360929451,-0.6345041450720541,0.5656918733338927,False
-13,-0.6410350358151434,0.314799034350884,0.041731999277727194,-1.2580411431428762,-0.024028928487410783,True
-12,-0.38936768031716196,0.3060101014941596,0.2032472719442613,-0.9891474792457148,0.21041211861139086,False
-11,-0.288276104959947,0.31511749846720666,0.3602980848192301,-0.905906401955672,0.32935419203577804,False
-10,-0.2975706435412616,0.35833821838072516,0.40631348929473954,-0.999913551567483,0.40477226448495973,False
-9,-0.2437267987376553,0.33701553178194577,0.4695717512008659,-0.9042772410302691,0.41682364355495843,False
-8,-0.3203071328934193,0.25251377011581927,0.20464545848300175,-0.815234122320425,0.17461985653358647,False
-7,-0.13261721904617396,0.3042693479391595,0.6629474902433397,-0.7289851410069266,0.46375070291457865,False
-6,-0.11954174909617664,0.3246375529354509,0.7127050879333632,-0.7558313528496604,0.5167478546573071,False
-5,-0.5989215751094183,0.3513978417902335,0.08832443582016047,-1.2876613450182761,0.08981819479943931,False
-4,-0.5446630267514401,0.37924238647002123,0.15096679915901423,-1.2879781042326817,0.19865205072980152,False
-3,-0.41540667710983387,0.35680464739930684,0.2443419809186511,-1.1147437860124754,0.2839304317928076,False
-2,-0.3359059753783052,0.34434439824174773,0.32932850648242784,-1.0108209959321308,0.3390090451755204,False
-1,0.0,0.0,1.0,0.0,0.0,False
0,-0.2705057808239542,0.3013405249203551,0.3693711976738612,-0.8611332096678503,0.32012164801994186,False
1,0.087423862686074,0.28971086414880615,0.762836700330422,-0.48040943104558603,0.6552571564177341,False
2,-0.16441442065619555,0.28670094894491654,0.5663337353441436,-0.726348280588232,0.3975194392758408,False
3,-0.12912671176689436,0.3284483370715768,0.6942196247630297,-0.7728854524271849,0.5146320288933961,False
4,-0.34402810305739756,0.2930800169793771,0.2404762212739857,-0.9184649363369766,0.2304087302221815,False
5,-0.3919653750416612,0.3177183636443707,0.2173355374056225,-1.014693367784628,0.23076261770130546,False
6,0.03853756961529838,0.2991455318279624,0.8974972011106599,-0.5477876727675078,0.6248628119981047,False
7,0.1423967719462536,0.3580457980511165,0.6908521073406098,-0.5593729922339348,0.8441665361264419,False
8,0.2928733001691924,0.3360652171598823,0.3835052790376099,-0.36581452546417687,0.9515611258025616,False
9,0.03364061125581996,0.3938721675825561,0.931936431823486,-0.73834883720599,0.8056300597176299,False
10,0.044317031093020265,0.344722357571683,0.8977083720423946,-0.6313387897474785,0.7199728519335189,False
11,0.1828727688020459,0.3316473679779018,0.5813614886255503,-0.4671560724346416,0.8329016100387334,False
12,-0.22866022788836085,0.33394808748329535,0.4935309371401204,-0.8831984793556197,0.42587802357889804,False
13,-0.024196577450026895,0.3274945716953224,0.9411035995389385,-0.6660859379728589,0.6176927830728051,False
14,0.42467316935913035,0.35963285431956693,0.23767741423577982,-0.28020722510722085,1.1295535638254814,False
15,-0.2472645044903929,0.27050085469919183,0.3606774029104871,-0.7774461797008088,0.28291717072002304,False
16,0.039631613301926535,0.3067154136495534,0.8971905937986577,-0.5615305974511982,0.6407938240550513,False
17,-0.07887492719037108,0.3062120728052987,0.796731993826373,-0.6790505898887566,0.5213007355080145,False
18,-0.09838836265475605,0.3592692378638771,0.7841977875245594,-0.8025560688679552,0.6057793435584431,False
19,-0.09780599180727312,0.3482617850603925,0.7788360734258792,-0.7803990905256424,0.5847871069110961,False
20,-0.34660810148004717,0.36265468227638775,0.3392103839644145,-1.057411278741767,0.36419507578167276,False
21,-0.12960283382075524,0.33285288124302337,0.6970073563143506,-0.781994481057081,0.5227888134155706,False
22,0.22158930971093357,0.3241608704839319,0.49425050226535383,-0.41376599643757284,0.85694461585944,False
23,-0.07137671225005154,0.31814447484716946,0.8224851218284159,-0.6949398829505036,0.5521864584504006,False
24,-0.12327169274868854,0.34683466481688896,0.7222798208342645,-0.8030676357897909,0.5565242502924138,False
25,0.25816388972309207,0.3967870592129278,0.5152900307120234,-0.5195387463342465,1.0358665257804305,False
26,0.14234891996000346,0.32454419023041803,0.6609481858016983,-0.49375769289161586,0.7784555328116227,False
